yday,2011,2012,2013,2014,2015,2016,2017
252,0,0,3.2638888,2.3032408,1.5393518,1.7361112,0
253,0.9953704,0,3.2638888,2.2800925,1.550926,2.6157408,2.02546285
254,1.3425926,0.5428241,3.2986112,1.5046296,1.5162038,0.23148148,4.0509257
255,1.261574,1.3194444,3.3101852,1.5046296,1.5162038,0,4.049537
256,1.25,1.25,3.2754629,1.4699074,1.5162038,0,4.0740743
257,1.724537,1.238426,1.5393518,1.4930556,1.6087962,4.664352,2.8935184
258,1.7939814,1.25,1.5393518,1.5393518,1.5393518,0.46296296,2.9166667
259,1.8171296,1.2152778,1.574074,1.5046296,1.5625,0,2.824074
260,1.7476852,1.238426,1.5393518,2.6388888,1.574074,0,2.9166667
261,0,1.2731482,1.2731482,2.6504629,1.550926,0,2.3611112
262,0,1.25,1.1574074,2.6504629,1.550926,0,2.3263888
263,1.7361112,1.0069444,0.9259259,2.6273148,1.5625,0,2.3027778
264,2.5462964,0.8912037,0.9490741,2.6388888,1.5625,0,1.7476852
265,2.4074075,0.8680556,0.9375,2.6620371,1.5625,0,1.724537
266,2.4421296,0.8333333,0.9375,2.6388888,1.574074,0,1.7013888
267,2.4189816,0.8680556,0.9259259,2.6388888,1.5856482,1.1689814,1.724537
268,2.4074075,0.9259259,0.9143519,2.6273148,1.574074,1.1574074,1.1689814
269,2.4537036,0.8796296,0.9375,2.6157408,1.550926,1.1805556,1.1689814
270,1.8518518,0.8796296,0.9375,2.6041667,1.5393518,1.2268518,1.1689814
271,1.7939814,0.8333333,0.9143519,2.6273148,1.550926,1.1689814,1.1689814
272,1.8055556,0.8217593,0.9375,2.6041667,1.8171296,1.1805556,1.1574074
273,1.8171296,0.8680556,0.9490741,2.6273148,1.863426,1.1805556,1.1574074
274,0.33564815,1.2268518,0.9259259,2.6041667,1.875,1.1689814,1.1226852
275,0,1.1921296,0.9375,1.5046296,1.863426,1.1805556,1.1574074
276,0.7291667,1.2152778,0.9490741,0.9143519,2.6041667,1.1226852,1.1574074
277,0.7291667,1.1921296,0.9375,0.8796296,2.5810184,1.1574074,1.1689814
278,1.238426,1.1805556,0.9375,1.5277778,2.6620371,1.1805556,1.1689814
279,1.2731482,1.1574074,0.8912037,1.7824074,2.5578704,1.1805556,1.1574074
280,1.25,1.1921296,0.9259259,1.7708334,2.488426,1.1921296,1.1574074
281,1.2731482,1.1226852,0.9143519,1.7476852,2.488426,1.1805556,1.1574074
282,1.25,1.2037038,0.9375,2.6736112,2.5,1.1574074,1.7476852
283,1.261574,1.1921296,0.9259259,2.6504629,2.488426,1.1805556,1.1689814
284,1.2847222,1.1921296,0.9375,2.6157408,2.488426,1.2037038,1.1689814
285,1.886574,1.7708334,0.9143519,3.2407408,2.488426,1.1921296,1.1574074
286,1.8518518,1.8518518,0.9259259,3.9351852,2.511574,1.1805556,1.1574074
287,1.8171296,1.886574,0.9606481,3.8657408,2.511574,1.1921296,1.1574074
288,1.7939814,1.875,0.9722222,3.8657408,2.523148,1.1805556,1.1689814
289,1.8287038,2.3148148,0.9490741,0.8912037,2.488426,1.1805556,1.1689814
290,1.863426,2.0833333,0.9259259,0.8912037,2.4652777,1.1805556,1.1574074
291,1.8518518,3.449074,0.9490741,0.9027778,2.5,1.1921296,1.1574074
292,1.7939814,3.414352,0.9259259,0.8796296,2.5810184,1.1921296,1.1689814
293,1.7939814,3.773148,0.9259259,0.8912037,2.511574,1.1921296,1.1574074
294,1.8055556,3.6689816,0.9143519,0.8912037,2.511574,1.1805556,1.1458334
295,1.8055556,3.726852,0.9490741,0.8680556,2.5,1.1921296,1.1574074
296,1.8171296,2.8587964,0.9837963,0.8912037,2.523148,1.1574074,1.1805556
297,1.8171296,3.9467592,1.0069444,0.8796296,2.4537036,1.1805556,1.1458334
298,1.8287038,3.8888888,0.9722222,0.8564815,2.5,1.2268518,1.1689814
299,1.8171296,3.4722223,0.9143519,0.8796296,2.5578704,1.1805556,1.1574074
300,1.8287038,3.449074,0.9375,0.9143519,2.5578704,1.1805556,1.1574074
301,1.8055556,0,0.9375,0.8912037,2.511574,1.1689814,1.1574074
302,1.7708334,1.4351852,0.9953704,0.8912037,3.0787036,1.1805556,1.1689814
303,1.8287038,1.5625,1.0069444,0.8912037,3.0787036,1.1689814,1.1574074
304,1.8287038,1.4930556,0.9953704,0.8796296,3.6574075,1.1805556,1.1574074
305,1.8287038,4.0509257,1.0069444,2.6157408,3.6689816,1.1921296,1.1574074
306,1.8055556,3.8657408,0.9953704,1.5162038,3.0671296,1.1805556,1.1458334
307,1.7939814,2.8587964,0.6944444,2.7314816,3.0555556,1.1805556,1.1458334
308,1.8287038,1.1458334,1.0185186,2.6967592,1.8981482,1.1921296,1.1342592
309,1.6898148,1.1226852,0.6712963,2.6736112,1.9212962,1.1921296,1.1574074
310,1.7824074,1.0648148,1.8981482,2.6851852,1.9328704,1.1689814,1.1805556
311,1.8287038,1.238426,1.886574,2.6736112,0.6365741,1.1805556,1.7476852
